Size, BubbleSort, InsertionSort, QuickSort, MergeSort
19400, 629.019000, 98.200900, 1.892700, 2.076500
19500, 726.706900, 108.406800, 1.881000, 2.679750
19600, 717.469700, 88.754300, 2.421250, 2.275100
19700, 743.730600, 96.531300, 2.097450, 2.225450
19800, 644.442400, 77.490900, 1.695350, 1.846000
19900, 610.982400, 81.266000, 2.082250, 2.383700
20000, 755.133900, 99.617400, 2.006600, 2.857700
20100, 763.893900, 98.174500, 2.120500, 2.686500
20200, 772.001600, 98.802800, 2.322300, 2.588100
20300, 716.213800, 85.278600, 1.734800, 1.970900
20400, 806.711700, 97.990900, 1.730200, 2.257600
20500, 785.927800, 98.448400, 1.724100, 2.006100
20600, 785.098100, 97.871100, 2.177200, 2.727800
20700, 777.859800, 104.007500, 1.743300, 2.024800
20800, 795.665700, 108.882400, 1.920900, 2.189200
20900, 833.974100, 106.999200, 2.374900, 2.405400
21000, 835.625100, 103.010600, 2.058200, 3.276700
21100, 769.692900, 99.155200, 1.961200, 2.483700
21200, 862.344000, 108.569600, 1.970200, 2.210100
21300, 845.488600, 108.237900, 2.111100, 2.468200
21400, 850.481100, 102.652300, 2.203300, 2.392200
21500, 846.256900, 109.714500, 2.338900, 2.508100
21600, 880.631600, 114.807600, 2.505200, 2.598800
21700, 899.432600, 118.689600, 2.490800, 2.441700
21800, 887.846600, 109.775700, 2.494100, 2.925200
21900, 904.144900, 113.799800, 2.086100, 3.041200
22000, 938.920500, 116.218100, 2.059800, 2.403600
22100, 960.360000, 129.582700, 1.871600, 2.611500
22200, 896.248300, 115.856300, 2.642800, 3.205100
22300, 945.053800, 115.613600, 2.286700, 4.099900
22400, 924.732500, 124.120300, 2.457200, 2.612300
22500, 952.397500, 125.143000, 2.216900, 2.998100
22600, 966.854500, 119.276500, 2.515600, 2.792300
22700, 1001.738600, 128.744900, 2.157600, 2.775000
22800, 1006.758200, 128.513800, 2.226600, 2.584300
22900, 956.820000, 122.939000, 2.727700, 2.487500
23000, 1021.329000, 125.111200, 3.318900, 3.019300
23100, 1030.876000, 122.397900, 2.125400, 2.695000
23200, 1042.228100, 124.157500, 2.094800, 2.860700
23300, 1069.603500, 134.003300, 2.349400, 2.657500
23400, 1056.725300, 133.529300, 2.660300, 2.647100
23500, 1078.002700, 133.744000, 2.668300, 2.507600
23600, 1096.252700, 137.415900, 2.102500, 3.537300
23700, 1112.079600, 128.385500, 2.576500, 4.025400
23800, 1116.311400, 131.087600, 2.106300, 2.594800
23900, 1126.519200, 131.366300, 2.356000, 3.332300
24000, 1117.816100, 135.576700, 2.213600, 2.747800
24100, 1148.424300, 133.453200, 2.249600, 2.694900
24200, 1153.408000, 136.042900, 2.457200, 2.499800
24300, 1168.074700, 137.659700, 2.443900, 2.586600
24400, 1173.614500, 140.453200, 2.230100, 3.208000
24500, 1165.493600, 137.015600, 3.102200, 2.694000
24600, 1171.448900, 150.128600, 2.608700, 2.784600
24700, 1193.099900, 138.328900, 2.218500, 2.519100
24800, 1189.840300, 136.938100, 2.223900, 2.673200
24900, 1011.968700, 117.727500, 2.045700, 2.483000
25000, 1038.762700, 120.106700, 2.163900, 2.464500
